uri	pub	pub_copy	urlwd	idwd	mplace
http://lkg.org.pl/ns/lkg-core/F11_C106	Insel Verlag	Insel Verlag	https://www.wikidata.org/wiki/Q316015	Q316015	Berlin, Germany
http://lkg.org.pl/ns/lkg-core/F11_C107	Instituto Polaco de Cultura	Polish Institute in Madrid	https://www.wikidata.org/wiki/Q79803424	Q79803424	Madrid, Spain
http://lkg.org.pl/ns/lkg-core/F11_C108	Instytut Literacki	Instytut Literacki	https://www.wikidata.org/wiki/Q11713098	Q11713098	Paris, France
http://lkg.org.pl/ns/lkg-core/F11_C109	Instytut Literatury	Instytut Literatury	https://www.wikidata.org/wiki/Q65166887	Q65166887	Krakow, Poland
http://lkg.org.pl/ns/lkg-core/F11_C110	Instytut Pamięci Narodowej	Institute of National Remembrance	https://www.wikidata.org/wiki/Q705173	Q705173	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C105	InterEditions	InterÉditions	https://www.wikidata.org/wiki/Q18564348	Q18564348	Paris, France
http://lkg.org.pl/ns/lkg-core/F11_C647	Interdisciplinary Studies in Musicology	Interdisciplinary Studies in Musicology	https://www.wikidata.org/wiki/Q96709841	Q96709841	Poznan, Poland
http://lkg.org.pl/ns/lkg-core/F11_C648	Interlitteraria	Interlitteraria	https://www.wikidata.org/wiki/Q12364608	Q12364608	Tartu, Estonia
http://lkg.org.pl/ns/lkg-core/F11_C649	International Herald Tribune	International Herald Tribune	https://www.wikidata.org/wiki/Q100294968	Q100294968	Paris, France
http://lkg.org.pl/ns/lkg-core/F11_C653	Interpress Magazin	Interpress Magazin	https://www.wikidata.org/wiki/Q28722702	Q28722702	Prague, Czechia
http://lkg.org.pl/ns/lkg-core/F11_C112	Iskry	Wydawnictwo Iskry	https://www.wikidata.org/wiki/Q11714162	Q11714162	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C654	Itd	Q11714279	https://www.wikidata.org/wiki/Q11714279	Q11714279	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C656	Jules Verne magasinet	Jules Verne-magasinet : (Veckans äventyr)	https://www.wikidata.org/wiki/Q79009009	Q79009009	Stockholm, Sweden
http://lkg.org.pl/ns/lkg-core/F11_C657	Junge Welt	Verlag Junge Welt	https://www.wikidata.org/wiki/Q101071369	Q101071369	Berlin, Germany
http://lkg.org.pl/ns/lkg-core/F11_C114	Junius	Junius Verlag	https://www.wikidata.org/wiki/Q1713617	Q1713617	Hamburg, Germany
http://lkg.org.pl/ns/lkg-core/F11_C658	Językoznawca	linguist	https://www.wikidata.org/wiki/Q14467526	Q14467526	Lodz, Poland
http://lkg.org.pl/ns/lkg-core/F11_C115	Kalligram	Kalligram	https://www.wikidata.org/wiki/Q20440003	Q20440003	Bratislava, Slovakia
http://lkg.org.pl/ns/lkg-core/F11_C117	Karin Kramer Verlag	Karin Kramer Verlag	https://www.wikidata.org/wiki/Q1729481	Q1729481	Berlin, Germany
http://lkg.org.pl/ns/lkg-core/F11_C664	Karpatenrundschau	Karpatenrundschau	https://www.wikidata.org/wiki/Q1734318	Q1734318	Brasov, Romania
http://lkg.org.pl/ns/lkg-core/F11_C118	Kawade Bunko / 河出文庫	Kawade Bunko	https://www.wikidata.org/wiki/Q11553504	Q11553504	Tokyo, Japan
http://lkg.org.pl/ns/lkg-core/F11_C119	Kijárat	Kijárat Kiadó	https://www.wikidata.org/wiki/Q108272891	Q108272891	Budapest, Hungary
http://lkg.org.pl/ns/lkg-core/F11_C666	Kino	Kino (miesięcznik)	https://www.wikidata.org/wiki/Q11739333	Q11739333	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C120	Klett-Cotta	Klett-Cotta Verlag	https://www.wikidata.org/wiki/Q1444698	Q1444698	Stuttgart, Germany
http://lkg.org.pl/ns/lkg-core/F11_C121	Kluwer Academic Publishers	Springer Science+Business Media	https://www.wikidata.org/wiki/Q176916	Q176916	Boston, United States
http://lkg.org.pl/ns/lkg-core/F11_C122	Knihovna města Ostravy	Knihovna města Ostravy	https://www.wikidata.org/wiki/Q66756089	Q66756089	Ostrava, Czechia
http://lkg.org.pl/ns/lkg-core/F11_C124	Knopf Alfred A.	Alfred A. Knopf	https://www.wikidata.org/wiki/Q1431868	Q1431868	New York, United States
http://lkg.org.pl/ns/lkg-core/F11_C667	Komjaunimo tiesa	Komjaunimo tiesa	https://www.wikidata.org/wiki/Q12661051	Q12661051	Vilnius, Lithuania
http://lkg.org.pl/ns/lkg-core/F11_C668	Korunk	Korunk	https://www.wikidata.org/wiki/Q819384	Q819384	Cluj-Napoca, Romania
http://lkg.org.pl/ns/lkg-core/F11_C127	Kossuth Könyvkiadó	Kossuth Publishing House	https://www.wikidata.org/wiki/Q1119450	Q1119450	Budapest, Hungary
http://lkg.org.pl/ns/lkg-core/F11_C128	Kozmosz Könyvek	Kozmosz Könyvek	https://www.wikidata.org/wiki/Q56410576	Q56410576	Budapest, Hungary
http://lkg.org.pl/ns/lkg-core/F11_C669	Kraj Rad	Kraj Rad	https://www.wikidata.org/wiki/Q11747731	Q11747731	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C129	Krajowa Agencja Wydawnicza (KAW)	Krajowa Agencja Wydawnicza	https://www.wikidata.org/wiki/Q11747768	Q11747768	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C671	Kresy	Kresy	https://www.wikidata.org/wiki/Q11748135	Q11748135	Lublin, Poland
http://lkg.org.pl/ns/lkg-core/F11_C131	Kriterion Könyvkiadó	Kriterion Press	https://www.wikidata.org/wiki/Q285186	Q285186	Bucharest, Romania
http://lkg.org.pl/ns/lkg-core/F11_C672	Kronika Sejmowa	Kronika Sejmowa	https://www.wikidata.org/wiki/Q11748304	Q11748304	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C673	Krynica	Q11748554	https://www.wikidata.org/wiki/Q11748554	Q11748554	Kyiv, Ukraine
http://lkg.org.pl/ns/lkg-core/F11_C132	Kröner	Alfred Kröner Verlag	https://www.wikidata.org/wiki/Q2645334	Q2645334	Stuttgart, Germany
http://lkg.org.pl/ns/lkg-core/F11_C674	Książki. Magazyn Literacki	Magazyn Literacki „Książki”	https://www.wikidata.org/wiki/Q11765966	Q11765966	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C133	Księgarnia Akademicka	Księgarna Akademicka	https://www.wikidata.org/wiki/Q11750492	Q11750492	Krakow, Poland
http://lkg.org.pl/ns/lkg-core/F11_C134	Księży Młyn Dom Wydawniczy	Dom Wydawniczy „Księży Młyn”	https://www.wikidata.org/wiki/Q48860749	Q48860749	Lodz, Poland
http://lkg.org.pl/ns/lkg-core/F11_C676	Kultura	Kultura	https://www.wikidata.org/wiki/Q1750512	Q1750512	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C678	Kultuurimaa	Kultuurimaa	https://www.wikidata.org/wiki/Q12367720	Q12367720	Tallinn, Estonia
http://lkg.org.pl/ns/lkg-core/F11_C679	Kunstforum International	Kunstforum International	https://www.wikidata.org/wiki/Q1646029	Q1646029	Cologne, Germany
http://lkg.org.pl/ns/lkg-core/F11_C680	Kurier Lubelski	Kurier Lubelski	https://www.wikidata.org/wiki/Q11751224	Q11751224	Lublin, Poland
